OrderID,Date,Product,Category,Region,Salesperson,Quantity,UnitPrice,Discount,Revenue,Cost,Profit
ORD-57242,2023-01-01,Notebook Pack,Stationery,South,Rahul Nair,10,247.69,0.0,2476.9,1172.4,1304.5
ORD-90427,2023-01-01,Mechanical Keyboard,Electronics,West,Meera Iyer,9,3384.6,0.15,25892.19,15146.84,10745.35
ORD-36255,2023-01-01,Office Chair Ergo,Furniture,North,Karthik Raj,13,10471.89,0.05,129327.84,71306.55,58021.29
ORD-97205,2023-01-01,Laptop Pro X1,Electronics,East,Rahul Nair,12,115755.27,0.2,1111250.59,738706.76,372543.83
ORD-75338,2023-01-02,USB Hub 7-Port,Electronics,West,Vikram Das,2,931.31,0.0,1862.62,1128.11,734.51
ORD-13379,2023-01-03,Mechanical Keyboard,Electronics,South,Rahul Nair,18,3751.96,0.0,67535.28,32246.85,35288.43
ORD-83519,2023-01-04,Monitor 27inch,Electronics,South,Karthik Raj,6,25412.31,0.1,137226.47,85960.97,51265.5
ORD-54740,2023-01-04,Monitor 27inch,Electronics,West,Priya Sharma,5,27022.49,0.1,121601.21,73264.94,48336.27
ORD-42441,2023-01-04,Laptop Pro X1,Electronics,East,Meera Iyer,18,99844.48,0.05,1707340.61,1119742.45,587598.16
ORD-44640,2023-01-05,Wireless Headphones,Electronics,West,Arjun Kumar,16,4523.75,0.05,68761.0,40258.95,28502.05
ORD-62685,2023-01-05,Standing Desk,Furniture,East,Rahul Nair,13,27918.87,0.0,362945.31,246583.56,116361.75
ORD-10294,2023-01-05,USB Hub 7-Port,Electronics,South,Arjun Kumar,8,1466.41,0.05,11144.72,5680.97,5463.75
ORD-24067,2023-01-05,Wireless Headphones,Electronics,South,Meera Iyer,12,4245.33,0.0,50943.96,28524.36,22419.6
ORD-54560,2023-01-05,Mechanical Keyboard,Electronics,South,Vikram Das,17,3319.39,0.0,56429.63,32491.75,23937.88
ORD-50123,2023-01-05,Standing Desk,Furniture,South,Sneha Pillai,10,19547.17,0.05,185698.11,106931.31,78766.8
ORD-58908,2023-01-05,Laptop Pro X1,Electronics,East,Meera Iyer,13,117399.19,0.05,1449880.0,1004220.47,445659.53
ORD-79615,2023-01-06,Notebook Pack,Stationery,North,Arjun Kumar,16,420.04,0.1,6048.58,2772.7,3275.88
ORD-88522,2023-01-06,Notebook Pack,Stationery,South,Arjun Kumar,14,397.16,0.0,5560.24,2873.33,2686.91
ORD-53165,2023-01-06,Laptop Pro X1,Electronics,East,Arjun Kumar,4,86680.12,0.0,346720.48,162528.88,184191.6
ORD-91968,2023-01-06,Monitor 27inch,Electronics,West,Rahul Nair,2,19537.03,0.0,39074.06,23413.96,15660.1
ORD-27947,2023-01-07,Notebook Pack,Stationery,East,Vikram Das,6,366.74,0.15,1870.37,1107.22,763.15
ORD-64636,2023-01-07,Office Chair Ergo,Furniture,West,Arjun Kumar,4,8488.89,0.15,28862.23,16002.95,12859.28
ORD-25269,2023-01-08,Monitor 27inch,Electronics,West,Priya Sharma,5,26430.22,0.1,118935.99,68998.16,49937.83
ORD-90951,2023-01-09,Notebook Pack,Stationery,West,Karthik Raj,10,345.78,0.2,2766.24,1541.45,1224.79
ORD-53855,2023-01-09,Laptop Pro X1,Electronics,South,Divya Menon,1,119904.21,0.0,119904.21,71525.57,48378.64
ORD-56179,2023-01-09,Desk Lamp LED,Furniture,North,Meera Iyer,10,2208.46,0.0,22084.6,13289.77,8794.83
ORD-50037,2023-01-10,Pen Set Premium,Stationery,South,Rahul Nair,20,350.22,0.0,7004.4,3593.94,3410.46
ORD-29410,2023-01-10,Wireless Headphones,Electronics,North,Rahul Nair,18,2590.07,0.0,46621.26,27768.9,18852.36
ORD-73334,2023-01-10,Standing Desk,Furniture,West,Sneha Pillai,2,25414.02,0.15,43203.83,29528.78,13675.05
ORD-17678,2023-01-10,Pen Set Premium,Stationery,North,Sneha Pillai,16,309.44,0.1,4455.94,2247.85,2208.09
ORD-92706,2023-01-10,Laptop Pro X1,Electronics,East,Priya Sharma,5,105396.42,0.2,421585.68,291854.25,129731.43
ORD-14716,2023-01-11,Desk Lamp LED,Furniture,North,Karthik Raj,13,1459.54,0.05,18025.32,9823.88,8201.44
ORD-10803,2023-01-12,Standing Desk,Furniture,East,Karthik Raj,3,21693.27,0.1,58571.83,34410.86,24160.97
ORD-11160,2023-01-12,Monitor 27inch,Electronics,North,Arjun Kumar,4,23245.63,0.0,92982.52,55454.14,37528.38
ORD-94180,2023-01-12,Wireless Headphones,Electronics,North,Rahul Nair,16,4144.82,0.0,66317.12,31246.36,35070.76
ORD-35307,2023-01-13,Notebook Pack,Stationery,North,Priya Sharma,15,305.45,0.15,3894.49,2028.34,1866.15
ORD-75401,2023-01-13,Monitor 27inch,Electronics,East,Sneha Pillai,12,26226.29,0.0,314715.48,177967.48,136748.0
ORD-67659,2023-01-13,Wireless Headphones,Electronics,East,Sneha Pillai,9,4618.98,0.05,39492.28,22340.04,17152.24
ORD-32377,2023-01-14,Pen Set Premium,Stationery,West,Sneha Pillai,1,194.38,0.0,194.38,130.3,64.08
ORD-23276,2023-01-14,Wireless Headphones,Electronics,North,Meera Iyer,5,4873.62,0.2,19494.48,11266.37,8228.11
ORD-87189,2023-01-14,USB Hub 7-Port,Electronics,South,Sneha Pillai,12,1318.9,0.0,15826.8,10061.62,5765.18
ORD-80517,2023-01-15,Monitor 27inch,Electronics,North,Karthik Raj,15,22711.9,0.0,340678.5,171106.59,169571.91
ORD-35347,2023-01-15,Office Chair Ergo,Furniture,North,Meera Iyer,19,11753.71,0.0,223320.49,106207.76,117112.73
ORD-26350,2023-01-15,Monitor 27inch,Electronics,East,Arjun Kumar,10,26966.55,0.1,242698.95,158910.26,83788.69
ORD-62098,2023-01-16,Office Chair Ergo,Furniture,West,Rahul Nair,3,11286.43,0.0,33859.29,18102.54,15756.75
ORD-50919,2023-01-16,USB Hub 7-Port,Electronics,South,Priya Sharma,19,1354.83,0.0,25741.77,16934.68,8807.09
ORD-34941,2023-01-16,USB Hub 7-Port,Electronics,West,Vikram Das,4,1270.41,0.15,4319.39,2896.46,1422.93
ORD-55327,2023-01-17,Wireless Headphones,Electronics,West,Priya Sharma,14,4308.13,0.0,60313.82,31923.95,28389.87
ORD-37745,2023-01-17,Laptop Pro X1,Electronics,East,Arjun Kumar,11,112572.25,0.0,1238294.75,682767.2,555527.55
ORD-88335,2023-01-18,Pen Set Premium,Stationery,East,Karthik Raj,12,184.75,0.05,2106.15,1416.24,689.91
ORD-90293,2023-01-18,Monitor 27inch,Electronics,North,Sneha Pillai,15,20335.59,0.05,289782.16,159392.16,130390.0
ORD-68854,2023-01-18,Pen Set Premium,Stationery,West,Meera Iyer,20,220.38,0.0,4407.6,2047.53,2360.07
ORD-26270,2023-01-18,Standing Desk,Furniture,North,Priya Sharma,4,21228.53,0.2,67931.3,33604.44,34326.86
ORD-90997,2023-01-19,Notebook Pack,Stationery,North,Karthik Raj,6,218.03,0.0,1308.18,846.78,461.4
ORD-26143,2023-01-20,Standing Desk,Furniture,South,Rahul Nair,7,26808.92,0.1,168896.2,97310.96,71585.24
ORD-71249,2023-01-20,USB Hub 7-Port,Electronics,South,Meera Iyer,7,1262.56,0.2,7070.34,4493.57,2576.77
ORD-98413,2023-01-20,Laptop Pro X1,Electronics,South,Sneha Pillai,14,90267.32,0.2,1010993.98,511282.4,499711.58
ORD-19443,2023-01-22,Mechanical Keyboard,Electronics,South,Rahul Nair,13,5062.1,0.0,65807.3,30755.93,35051.37
ORD-87025,2023-01-22,Office Chair Ergo,Furniture,East,Divya Menon,16,10406.93,0.0,166510.88,96061.62,70449.26
ORD-61257,2023-01-23,USB Hub 7-Port,Electronics,West,Sneha Pillai,14,1274.53,0.0,17843.42,11409.59,6433.83
